timestamp,title,process_id
2024-08-09T00:08:21.826997,test.py - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:08:26.831290,Cody Chat - Sourcegraph and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:08:31.835900,Cody Chat - Sourcegraph and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:08:36.836773,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:08:41.838297,activity_log.csv - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:08:46.839205,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:08:51.840927,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:08:56.842825,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:01.844334,Quick settings,197358
2024-08-09T00:09:06.846419,package.json - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:11.848714,package.json - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:16.850235,package.json - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:21.851859,test.py - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:26.853344,index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:31.855135,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:36.856776,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:40.074774,Activity Tracker,1312440
2024-08-09T00:09:41.858520,Activity Tracker,1312440
2024-08-09T00:09:45.076459,Activity Tracker,1312440
2024-08-09T00:09:46.860344,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:09:51.862021,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:09:56.863410,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:10:01.865835,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:10:06.867496,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:10:11.869230,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:10:16.870925,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:10:21.872672,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:10:26.878172,index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:10:31.880427,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:10:36.882197,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:10:41.884317,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:10:45.398644,Activity Tracker,1378300
2024-08-09T00:10:46.885763,Activity Tracker,1378300
2024-08-09T00:10:51.886944,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:10:56.889032,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:01.890779,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:06.892229,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:11.893554,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:16.894983,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:11:21.896897,index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:11:26.901321,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:11:29.823088,Activity Tracker,1836592
2024-08-09T00:11:31.908753,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:11:34.824803,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:11:36.913661,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:39.826144,Activity Tracker,1836592
2024-08-09T00:11:41.916014,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:46.917404,ChatGPT and 2 more pages - Personal - Microsoft​ Edge,328008
2024-08-09T00:11:51.918892,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:11:56.920660,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:01.922589,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:06.925127,● renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:10.179760,Activity Tracker,1967822
2024-08-09T00:12:11.928087,renderer.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:15.180602,Activity Tracker,1967822
2024-08-09T00:12:16.929979,Activity Tracker,1967822
2024-08-09T00:12:21.932485,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:23.997593,Activity Tracker,3933834
2024-08-09T00:12:26.934133,main.js - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:28.998138,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:28.999173,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.000169,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.001154,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.001154,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.001154,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.002157,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.002157,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.003218,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.003218,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.003218,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.004214,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.004214,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.005213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.005213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.005213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.006213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.006213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.007213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.007213,● index.html - TimeXAssistant - Visual Studio Code,132984
2024-08-09T00:12:29.007213,● index.html - TimeXAssistant - Visual Studio Code,132984
